종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S","1710","-22","-1.27",,,,,"933","1.83","0","0.00"
"095570","AJ네트웍스","4630","-110","-2.32","635","7.29","512","9.05","10216","0.45","330","7.13"
"006840","AK홀딩스","7690","-220","-2.78",,,,,"31492","0.24","0","0.00"
"054620","APS","6030","-280","-4.44",,,,,"11700","0.52","0","0.00"
"079810","APS이노베이션","5450","-350","-6.03","4","1362.50",,,"7818","0.70","0","0.00"
"265520","AP시스템","27650","-1050","-3.66","1605","17.23",,,"24853","1.11","340","1.23"
"211270","AP위성","16300","-780","-4.57",,,,,"7297","2.23","0","0.00"
"027410","BGF","4780","-145","-2.94","618","7.73","701","6.82","18674","0.26","130","2.72"
"282330","BGF리테일","132600","-100","-0.08","11303","11.73","13322","9.95","76009","1.74","4100","3.09"
"126600","BGF에코머티리얼즈","3810","-90","-2.31","226","16.86",,,"6634","0.57","50","1.31"
"138930","BNK금융지주","17480","-160","-0.91","2512","6.96","2856","6.12","34780","0.50","735","4.20"
"001460","BYC","46000","-500","-1.08","2367","19.43",,,"68791","0.67","400","0.87"
"001465","BYC우","31950","-550","-1.69",,,,,,,"405","1.27"
"083790","CG인바이츠","1217","72","6.29",,,,,"1144","1.06","0","0.00"
"001040","CJ","208000","-10500","-4.81","4271","48.70","10704","19.43","155346","1.34","3300","1.59"
"079160","CJ CGV","5040","180","3.70",,,,,"3444","1.46","0","0.00"
"035760","CJ ENM","45900","-2100","-4.38","1422","32.28","3353","13.69","134460","0.34","0","0.00"
"311690","CJ 바이오사이언스","7120","-330","-4.43",,,,,"4105","1.73","0","0.00"
"00104K","CJ4우(전환)","180800","-8600","-4.54",,,,,,,"3350","1.85"
"000120","CJ대한통운","95700","-1500","-1.54","11347","8.43","13160","7.27","207860","0.46","800","0.84"
"011150","CJ씨푸드","2550","-35","-1.35","78","32.69",,,"2447","1.04","0","0.00"
"011155","CJ씨푸드1우","13170","-130","-0.98",,,,,,,"0","0.00"
"001045","CJ우","85700","-3200","-3.60",,,,,,,"3350","3.91"
"097950","CJ제일제당","212500","-13000","-5.76",,,"25906","8.20","440524","0.48","6000","2.82"
"097955","CJ제일제당 우","132600","-1900","-1.41",,,,,,,"6050","4.56"
"051500","CJ프레시웨이","25400","-1250","-4.69","3961","6.41","5498","4.62","38342","0.66","500","1.97"
"058820","CMG제약","1513","-2","-0.13",,,,,"1363","1.11","0","0.00"
"056730","CNT85","514","0","0.00",,,,,"840","0.61","0","0.00"
"000480","CR홀딩스","4820","-105","-2.13",,,,,"13605","0.35","410","8.51"
"065770","CS","1584","0","0.00",,,,,"899","1.76","0","0.00"
"083660","CSA 코스믹","334","-2","-0.60",,,,,"229","1.46","0","0.00"
"000590","CS홀딩스","75900","-1900","-2.44","16782","4.52",,,"320744","0.24","500","0.66"
"012030","DB","2255","80","3.68","259","8.71",,,"2351","0.96","0","0.00"
"477760","DB금융스팩12호","2230","0","0.00",,,,,,,"0","0.00"
"005830","DB손해보험","161500","-700","-0.43","29597","5.46","24399","6.62","179423","0.90","7600","4.71"
"016610","DB증권","14020","-880","-5.91","2029","6.91",,,"27483","0.51","550","3.92"
"000990","DB하이텍","165800","-20900","-11.19","6285","26.38","6775","24.47","50326","3.29","810","0.49"
"099520","DGI","1284","0","0.00",,,,,"509","2.52","0","0.00"
"000300","DH오토넥스","4200","0","0.00","101","41.58",,,"874","4.81","0","0.00"
"290120","DH오토리드","2745","-50","-1.79","888","3.09",,,"6278","0.44","100","3.64"
"025440","DH오토웨어","834","29","3.60",,,,,"1084","0.77","0","0.00"
"001530","DI동일","26100","-800","-2.97",,,"685","38.12","25027","1.04","100","0.38"
"015590","DKME","2575","0","0.00",,,,,"2640","0.98","0","0.00"
"000210","DL","61700","-5300","-7.91",,,"11154","5.53","177828","0.35","0","0.00"
"000215","DL우","27000","-1800","-6.25",,,,,,,"0","0.00"
"375500","DL이앤씨","85900","-5400","-5.91","8746","9.82","9946","8.64","126050","0.68","890","1.04"
"37550L","DL이앤씨2우(전환)","51300","-3100","-5.70",,,,,,,"890","1.73"
"37550K","DL이앤씨우","27950","-1550","-5.25",,,,,,,"940","3.36"
"068790","DMS","7870","-180","-2.24","5910","1.33",,,"19235","0.41","250","3.18"
"007340","DN오토모티브","46650","-2100","-4.31","5440","8.58","5535","8.43","38780","1.20","1000","2.14"
"004840","DRB동일","4980","-5","-0.10","232","21.47",,,"20966","0.24","80","1.61"
"241520","DSC인베스트먼트","15220","-610","-3.85","669","22.75",,,"4874","3.12","40","0.26"
"155660","DSR","4210","-90","-2.09","935","4.50",,,"15284","0.28","250","5.94"
"069730","DSR제강","5140","-20","-0.39","1713","3.00",,,"13053","0.39","430","8.37"
"017860","DS단석","20750","-800","-3.71",,,,,"15304","1.36","10","0.05"
"180400","DXVX","3870","-105","-2.64",,,,,"954","4.06","0","0.00"
"092780","DYP","4940","-140","-2.76","617","8.01",,,"11386","0.43","80","1.62"
"017940","E1","100900","1000","1.00","18124","5.57","19932","5.06","349725","0.29","4550","4.51"
"418620","E8","1270","-66","-4.94",,,,,"735","1.73","0","0.00"
"245620","EDGC","415","0","0.00","204","2.03",,,,,"0","0.00"
"037370","EG","5000","-60","-1.19",,,,,"6992","0.72","0","0.00"
"050120","ES큐브","2835","5","0.18",,,,,"6819","0.42","0","0.00"
"383220","F&F","83500","-2600","-3.02","10611","7.87","12495","6.68","50123","1.67","2700","3.23"
"007700","F&F홀딩스","19130","-820","-4.11","3218","5.94",,,"59179","0.32","500","2.61"
"214270","FSN","1819","-61","-3.24",,,,,"1408","1.29","0","0.00"
"032620","GC메디아이","3820","30","0.79","729","5.24",,,"2787","1.37","50","1.31"
"130500","GH신소재","2450","30","1.24",,,,,"5566","0.44","0","0.00"
"114090","GKL","11220","-60","-0.53","761","14.74","907","12.37","7137","1.57","414","3.69"
"078930","GS","76200","-1200","-1.55","8435","9.03","9940","7.67","155303","0.49","3000","3.94"
"083450","GST","63700","-1500","-2.30","2533","25.15",,,"16838","3.78","650","1.02"
"006360","GS건설","34000","-2200","-6.08","1073","31.69","3461","9.82","56462","0.60","500","1.47"
